keys,en,nl
HUB_WILL_NONE_BTN,"Leave nothing (everything burns)","Laat niets na (alles verbrandt)"
LEDGER_TITLE,"LEDGER — the campaign books","GROOTBOEK — de campagne-boekhouding"
LEDGER_CLOSE_BTN,"Close","Sluiten"
LEDGER_EXPLAIN,"The books are public: every donation, every loss and every last will is on record. Tap a column to sort.","De boekhouding is openbaar: elke donatie, elk verlies en elk testament staat erin. Tik een kolom om te sorteren."
LEDGER_COL_NAME,"Name","Naam"
LEDGER_COL_TEAM,"Team","Team"
LEDGER_COL_STATUS,"Status","Status"
LEDGER_COL_INF,"Inf.","Sold."
LEDGER_COL_CAV,"Cav.","Cav."
LEDGER_COL_ART,"Guns","Kan."
LEDGER_COL_TOTAL,"Total","Totaal"
LEDGER_COL_CP,"CP","CP"
LEDGER_COL_POINTS,"Points","Punten"
LEDGER_YOU_SUFFIX,"  (you)","  (jij)"
LEDGER_STATUS_ACTIVE,"active","actief"
LEDGER_STATUS_FALLEN,"fallen","gevallen"
BRACKET_TITLE,"CIVIL WAR — knockout for the championship","BURGEROORLOG — knock-out om het kampioenschap"
BRACKET_DONE,"finished","afgerond"
BRACKET_NOW_PLAYING,"NOW ON THE BOARD","NU OP HET BORD"
BRACKET_DUEL_ROW,"%s  vs  %s — %s","%s  vs  %s — %s"
BRACKET_QUEUE_ROW,"Waiting in line: %s  vs  %s","In de wachtrij: %s  vs  %s"
BRACKET_REMAINING,"Still in the fight: %s","Nog in de strijd: %s"
HUB_END_CHAMPION,"CHAMPION: %s","KAMPIOEN: %s"
HUB_END_SUMMARY,"%d rounds, %d duels. You finished with %d fame points (place %d of %d).","%d rondes, %d duels. Jij eindigde met %d roempunten (plek %d van %d)."
HUB_END_LEDGER_BTN,"View the full ledger","Bekijk het volledige grootboek"
HUB_END_NEW_BTN,"Start a new campaign","Start een nieuwe campagne"
HUB_BALANCE_PT,"%s (team %d) - Field army: always full - Reinforcements: %d - CP: %d - Fame: %d%s","%s (team %d) - Veldleger: altijd vol - Versterkingen: %d - CP: %d - Roem: %d%s"
HUB_ROW_SALDO,"%d reinf - %d CP - %d fame","%d vst - %d CP - %d roem"
HUB_DONATE_TITLE_PT,"Donate: [+1] gives 1 reinforcement point, [+CP] gives 1 CP (max 10 pts / 3 CP per receiver per round). Or keep everything.","Doneren: [+1] geeft 1 versterkingspunt, [+CP] geeft 1 CP (max 10 pt / 3 CP per ontvanger per ronde). Of houd alles."
HUB_PLUS_VST,"+1","+1"
HUB_PLUS_CP,"+CP","+CP"
HUB_RUIL_BTN,"Trade %d CP for 1 reinforcement","Ruil %d CP voor 1 versterking"
